entity_id,country,location_name,year_month,year,month,monthly_precip_mm,monthly_nasa_precip_mm,monthly_open_meteo_precip_mm,mean_daily_source_abs_diff_mm,rainy_days,heavy_rain_days,monthly_source_bias_mm
SEA_TH_BANGKOK,Thailand,Bangkok,2022-02-01,2022,2,90.14,79.88,100.39999999999999,3.032857142857143,16,0,-20.519999999999996
SEA_TH_BANGKOK,Thailand,Bangkok,2022-03-01,2022,3,92.21,72.52,111.9,2.3941935483870966,14,0,-39.38000000000001
SEA_TH_BANGKOK,Thailand,Bangkok,2022-04-01,2022,4,86.655,88.21000000000001,85.1,2.872333333333333,10,1,3.1100000000000136
SEA_TH_BANGKOK,Thailand,Bangkok,2022-05-01,2022,5,247.65,237.9,257.4,5.1251612903225805,26,4,-19.49999999999997
SEA_TH_BANGKOK,Thailand,Bangkok,2022-06-01,2022,6,140.06,138.22,141.9,3.464,28,0,-3.680000000000007
SEA_TH_BANGKOK,Thailand,Bangkok,2022-07-01,2022,7,227.46,244.42000000000002,210.5,4.137419354838709,30,3,33.920000000000016
SEA_TH_BANGKOK,Thailand,Bangkok,2022-08-01,2022,8,302.27,314.94,289.6,5.001290322580646,30,5,25.339999999999975
SEA_TH_BANGKOK,Thailand,Bangkok,2022-09-01,2022,9,432.87,430.84,434.9,7.316,30,10,-4.060000000000002
SEA_TH_BANGKOK,Thailand,Bangkok,2022-10-01,2022,10,213.98499999999999,209.67,218.3,3.320967741935484,18,4,-8.630000000000024
SEA_TH_BANGKOK,Thailand,Bangkok,2022-11-01,2022,11,104.82000000000001,82.04,127.6,2.3686666666666665,17,0,-45.55999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2022-12-01,2022,12,7.9750000000000005,5.25,10.7,0.35387096774193544,3,0,-5.449999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2023-01-01,2023,1,7.1499999999999995,3.8999999999999995,10.4,0.34451612903225803,2,0,-6.500000000000001
SEA_TH_BANGKOK,Thailand,Bangkok,2023-02-01,2023,2,40.88,19.46,62.3,1.8599999999999999,6,1,-42.839999999999996
SEA_TH_BANGKOK,Thailand,Bangkok,2023-03-01,2023,3,11.915000000000001,5.63,18.2,0.5209677419354838,3,0,-12.57
SEA_TH_BANGKOK,Thailand,Bangkok,2023-04-01,2023,4,63.0,30.8,95.2,2.744,12,0,-64.4
SEA_TH_BANGKOK,Thailand,Bangkok,2023-05-01,2023,5,95.525,88.75,102.3,2.135806451612903,18,0,-13.549999999999997
SEA_TH_BANGKOK,Thailand,Bangkok,2023-06-01,2023,6,181.465,137.23,225.7,5.679,27,1,-88.47
SEA_TH_BANGKOK,Thailand,Bangkok,2023-07-01,2023,7,229.88,214.56,245.2,6.9238709677419354,29,2,-30.639999999999986
SEA_TH_BANGKOK,Thailand,Bangkok,2023-08-01,2023,8,221.73000000000002,179.45999999999998,264.0,5.7696774193548395,29,1,-84.54000000000002
SEA_TH_BANGKOK,Thailand,Bangkok,2023-09-01,2023,9,332.53000000000003,309.96,355.1,6.492,30,3,-45.14000000000004
SEA_TH_BANGKOK,Thailand,Bangkok,2023-10-01,2023,10,211.095,175.59,246.6,3.63258064516129,27,1,-71.00999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2023-11-01,2023,11,58.845,54.49,63.199999999999996,1.4549999999999998,11,0,-8.709999999999994
SEA_TH_BANGKOK,Thailand,Bangkok,2023-12-01,2023,12,21.314999999999998,9.629999999999999,33.0,0.893225806451613,4,0,-23.37
SEA_TH_BANGKOK,Thailand,Bangkok,2024-01-01,2024,1,7.31,1.02,13.6,0.43290322580645163,1,0,-12.58
SEA_TH_BANGKOK,Thailand,Bangkok,2024-02-01,2024,2,12.040000000000001,4.18,19.9,0.5944827586206898,5,0,-15.719999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2024-03-01,2024,3,50.05,33.6,66.5,1.2754838709677419,12,0,-32.9
SEA_TH_BANGKOK,Thailand,Bangkok,2024-04-01,2024,4,4.84,4.38,5.3,0.24333333333333332,0,0,-0.9199999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2024-05-01,2024,5,248.235,223.27,273.2,4.500322580645161,24,4,-49.92999999999998
SEA_TH_BANGKOK,Thailand,Bangkok,2024-06-01,2024,6,144.71,113.72,175.7,4.300666666666666,26,1,-61.97999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2024-07-01,2024,7,280.535,229.57,331.5,7.007419354838709,30,2,-101.93
SEA_TH_BANGKOK,Thailand,Bangkok,2024-08-01,2024,8,200.585,238.67,162.5,4.857741935483871,27,0,76.16999999999999
