entity_id,date,country,location_name,canonical_latitude,canonical_longitude,nasa_power_precipitation_mm,nasa_power_temp_mean_c,nasa_power_temp_max_c,nasa_power_temp_min_c,nasa_power_relative_humidity_pct,nasa_power_wind_speed_ms,nasa_power_surface_pressure_kpa,open_meteo_precipitation_mm,open_meteo_temp_mean_c,open_meteo_temp_max_c,open_meteo_temp_min_c,open_meteo_relative_humidity_pct,open_meteo_wind_speed_ms,open_meteo_surface_pressure_kpa,precipitation_mm_mean_two_sources,precipitation_mm_abs_diff
SEA_ID_JAKARTA,2025-05-22,Indonesia,Jakarta,-6.2088,106.8456,19.26,28.15,30.04,26.87,84.53,2.36,100.61,7.2,26.2,29.5,24.1,89.0,0.9722,100.64,13.23,12.060000000000002
SEA_ID_JAKARTA,2025-05-23,Indonesia,Jakarta,-6.2088,106.8456,4.72,27.78,29.37,26.78,78.26,1.18,100.61,31.2,25.4,27.7,23.9,92.0,1.0833,100.6,17.96,26.48
SEA_ID_JAKARTA,2025-05-24,Indonesia,Jakarta,-6.2088,106.8456,5.45,28.25,30.26,26.48,81.09,2.58,100.5,26.6,26.7,30.9,24.1,87.0,1.4444,100.62,16.025000000000002,21.150000000000002
SEA_ID_JAKARTA,2025-05-25,Indonesia,Jakarta,-6.2088,106.8456,4.96,27.85,28.45,27.38,90.47,4.06,100.44,7.5,27.2,29.9,24.0,85.0,1.0,100.73,6.23,2.54
SEA_ID_JAKARTA,2025-05-26,Indonesia,Jakarta,-6.2088,106.8456,6.88,27.76,28.84,27.16,90.64,4.39,100.67,14.3,26.5,29.1,24.5,85.0,2.0278,100.82,10.59,7.420000000000001
SEA_ID_JAKARTA,2025-05-27,Indonesia,Jakarta,-6.2088,106.8456,0.63,28.23,30.76,26.09,82.02,2.74,100.77,0.0,28.4,31.6,25.0,76.0,2.0,100.76,0.315,0.63
SEA_ID_JAKARTA,2025-05-28,Indonesia,Jakarta,-6.2088,106.8456,1.49,28.75,31.64,26.01,76.9,1.6,100.78,0.6,28.5,32.4,25.3,79.0,1.0278,100.82,1.045,0.89
SEA_ID_JAKARTA,2025-05-29,Indonesia,Jakarta,-6.2088,106.8456,12.87,28.56,30.35,27.18,84.18,1.59,100.88,13.7,27.2,32.2,24.6,84.0,0.9444,100.97,13.285,0.8300000000000001
SEA_ID_JAKARTA,2025-05-30,Indonesia,Jakarta,-6.2088,106.8456,50.77,28.28,29.6,27.16,84.63,1.5,100.93,0.1,28.2,31.8,25.2,83.0,1.0,101.01,25.435000000000002,50.67
SEA_ID_JAKARTA,2025-05-31,Indonesia,Jakarta,-6.2088,106.8456,2.28,28.83,30.54,27.4,79.83,1.17,101.0,7.5,28.3,32.6,24.6,79.0,1.0556,101.05,4.89,5.220000000000001
SEA_ID_JAKARTA,2025-06-01,Indonesia,Jakarta,-6.2088,106.8456,3.12,27.61,29.16,26.35,83.18,2.01,101.07,0.2,27.3,29.9,24.8,78.0,1.1944,101.05,1.6600000000000001,2.92
SEA_ID_JAKARTA,2025-06-02,Indonesia,Jakarta,-6.2088,106.8456,0.2,27.95,29.7,25.83,79.49,1.79,100.96,0.0,27.9,32.5,24.6,78.0,1.0,100.92,0.1,0.2
SEA_ID_JAKARTA,2025-06-03,Indonesia,Jakarta,-6.2088,106.8456,2.07,28.71,31.17,26.65,76.6,1.2,100.86,1.9,27.6,32.2,24.4,82.0,1.0278,100.91,1.9849999999999999,0.16999999999999993
SEA_ID_JAKARTA,2025-06-04,Indonesia,Jakarta,-6.2088,106.8456,1.68,28.9,30.93,27.1,75.78,0.91,100.95,3.9,28.1,31.6,24.2,80.0,0.8056,100.97,2.79,2.2199999999999998
SEA_ID_JAKARTA,2025-06-05,Indonesia,Jakarta,-6.2088,106.8456,4.81,28.14,29.63,26.62,83.6,1.6,100.91,4.6,28.1,32.5,23.9,78.0,0.9444,100.92,4.705,0.20999999999999996
SEA_ID_JAKARTA,2025-06-06,Indonesia,Jakarta,-6.2088,106.8456,12.66,27.95,29.08,27.09,85.41,1.46,100.9,7.9,27.6,31.6,24.9,82.0,1.0556,100.96,10.280000000000001,4.76
SEA_ID_JAKARTA,2025-06-07,Indonesia,Jakarta,-6.2088,106.8456,6.19,28.64,30.67,27.13,77.78,1.27,100.91,1.3,27.2,31.4,24.0,83.0,1.0556,100.93,3.745,4.890000000000001
SEA_ID_JAKARTA,2025-06-08,Indonesia,Jakarta,-6.2088,106.8456,3.62,28.18,29.97,26.9,79.1,1.13,100.78,0.0,28.1,31.8,24.5,77.0,1.3056,100.78,1.81,3.62
SEA_ID_JAKARTA,2025-06-09,Indonesia,Jakarta,-6.2088,106.8456,2.88,28.48,30.16,27.16,78.14,1.24,100.7,2.1,27.6,31.8,23.8,78.0,1.1389,100.75,2.49,0.7799999999999998
SEA_ID_JAKARTA,2025-06-10,Indonesia,Jakarta,-6.2088,106.8456,11.26,27.96,29.71,25.92,77.99,1.56,100.69,3.1,26.7,30.9,24.2,82.0,1.1111,100.72,7.18,8.16
SEA_ID_JAKARTA,2025-06-11,Indonesia,Jakarta,-6.2088,106.8456,13.78,28.17,29.8,26.73,82.17,2.94,100.64,2.6,27.6,30.9,24.8,81.0,1.4167,100.71,8.19,11.18
SEA_ID_JAKARTA,2025-06-12,Indonesia,Jakarta,-6.2088,106.8456,2.74,28.26,30.26,26.56,84.24,3.74,100.67,1.0,28.5,33.0,24.7,76.0,1.6111,100.77,1.87,1.7400000000000002
SEA_ID_JAKARTA,2025-06-13,Indonesia,Jakarta,-6.2088,106.8456,0.97,28.45,30.59,26.55,81.31,3.4,100.85,0.0,29.5,33.5,25.1,66.0,1.7222,100.86,0.485,0.97
SEA_ID_JAKARTA,2025-06-14,Indonesia,Jakarta,-6.2088,106.8456,7.6,27.57,28.96,26.38,87.1,3.19,100.85,0.7,28.7,33.5,25.4,72.0,2.0,100.87,4.1499999999999995,6.8999999999999995
